group,file,method,feature,metric,g_dx,g_dy,r_dx,r_dy,alignment_seconds,total_seconds,output
provided,cathedral.jpg,single,intensity,ncc,2,5,3,12,0.261,0.315,provided/single_intensity/cathedral.jpg
provided,cathedral.jpg,pyramid,intensity,ncc,2,5,3,12,0.11,0.123,provided/pyramid_intensity/cathedral.jpg
provided,cathedral.jpg,pyramid,gradient,ncc,2,5,3,12,0.117,0.13,provided/pyramid_gradient/cathedral.jpg
provided,church.tif,pyramid,intensity,ncc,4,25,-4,58,2.668,3.605,provided/pyramid_intensity/church.jpg
provided,church.tif,pyramid,gradient,ncc,4,25,-4,58,4.28,4.878,provided/pyramid_gradient/church.jpg
provided,emir.tif,pyramid,intensity,ncc,24,49,48,44,2.723,3.552,provided/pyramid_intensity/emir.jpg
provided,emir.tif,pyramid,gradient,ncc,23,49,40,107,4.078,4.661,provided/pyramid_gradient/emir.jpg
provided,harvesters.tif,pyramid,intensity,ncc,17,59,14,124,2.707,3.516,provided/pyramid_intensity/harvesters.jpg
provided,harvesters.tif,pyramid,gradient,ncc,17,60,14,123,4.021,4.59,provided/pyramid_gradient/harvesters.jpg
provided,icon.tif,pyramid,intensity,ncc,17,41,23,89,2.762,3.633,provided/pyramid_intensity/icon.jpg
provided,icon.tif,pyramid,gradient,ncc,17,42,23,90,4.21,4.825,provided/pyramid_gradient/icon.jpg
provided,ilemselga.tif,pyramid,intensity,ncc,7,40,11,131,3.275,4.303,provided/pyramid_intensity/ilemselga.jpg
provided,ilemselga.tif,pyramid,gradient,ncc,7,40,11,131,4.766,5.419,provided/pyramid_gradient/ilemselga.jpg
provided,melons.tif,pyramid,intensity,ncc,10,81,14,178,3.007,3.877,provided/pyramid_intensity/melons.jpg
provided,melons.tif,pyramid,gradient,ncc,10,80,13,177,4.061,4.685,provided/pyramid_gradient/melons.jpg
provided,monastery.jpg,single,intensity,ncc,2,-3,2,3,0.393,0.463,provided/single_intensity/monastery.jpg
provided,monastery.jpg,pyramid,intensity,ncc,2,-3,2,3,0.17,0.189,provided/pyramid_intensity/monastery.jpg
provided,monastery.jpg,pyramid,gradient,ncc,2,-3,2,3,0.127,0.143,provided/pyramid_gradient/monastery.jpg
provided,religous_painting.tif,pyramid,intensity,ncc,3,29,7,69,2.736,3.594,provided/pyramid_intensity/religous_painting.jpg
provided,religous_painting.tif,pyramid,gradient,ncc,2,30,7,70,4.055,4.639,provided/pyramid_gradient/religous_painting.jpg
provided,self_portrait.tif,pyramid,intensity,ncc,29,78,37,176,2.882,3.788,provided/pyramid_intensity/self_portrait.jpg
provided,self_portrait.tif,pyramid,gradient,ncc,30,79,37,176,4.223,4.846,provided/pyramid_gradient/self_portrait.jpg
provided,siren.tif,pyramid,intensity,ncc,-6,49,-24,96,3.21,4.349,provided/pyramid_intensity/siren.jpg
provided,siren.tif,pyramid,gradient,ncc,-6,49,-24,96,4.475,4.992,provided/pyramid_gradient/siren.jpg
provided,three_generations.tif,pyramid,intensity,ncc,14,52,12,111,2.726,3.756,provided/pyramid_intensity/three_generations.jpg
provided,three_generations.tif,pyramid,gradient,ncc,13,53,9,111,4.038,4.55,provided/pyramid_gradient/three_generations.jpg
provided,tobolsk.jpg,single,intensity,ncc,3,3,3,7,0.271,0.298,provided/single_intensity/tobolsk.jpg
provided,tobolsk.jpg,pyramid,intensity,ncc,3,3,3,7,0.108,0.122,provided/pyramid_intensity/tobolsk.jpg
provided,tobolsk.jpg,pyramid,gradient,ncc,3,3,3,7,0.148,0.166,provided/pyramid_gradient/tobolsk.jpg
provided,wharf.tif,pyramid,intensity,ncc,-7,15,-16,82,2.851,3.709,provided/pyramid_intensity/wharf.jpg
provided,wharf.tif,pyramid,gradient,ncc,-6,15,-16,82,4.205,4.825,provided/pyramid_gradient/wharf.jpg
custom,custom_malorossiya.tif,pyramid,intensity,ncc,-6,21,-9,235,2.874,3.659,custom/pyramid_intensity/custom_malorossiya.jpg
custom,custom_malorossiya.tif,pyramid,gradient,ncc,-6,21,-9,235,4.405,4.944,custom/pyramid_gradient/custom_malorossiya.jpg
custom,custom_suna_river.tif,pyramid,intensity,ncc,-5,25,-11,102,2.846,3.729,custom/pyramid_intensity/custom_suna_river.jpg
custom,custom_suna_river.tif,pyramid,gradient,ncc,-5,25,-12,102,4.294,4.813,custom/pyramid_gradient/custom_suna_river.jpg
custom,custom_yasnaya_polyana.tif,pyramid,intensity,ncc,-2,42,9,97,2.859,3.763,custom/pyramid_intensity/custom_yasnaya_polyana.jpg
custom,custom_yasnaya_polyana.tif,pyramid,gradient,ncc,-2,42,9,97,4.252,4.774,custom/pyramid_gradient/custom_yasnaya_polyana.jpg
